id,proper,mag,absmag,ci,x,y,z
20661,,4.48,1.025,0.262,18.787236,43.38653,13.216923
20680,,4.69,-0.841,0.979,48.956077,113.410664,32.438204
20825,,4.96,1.171,1.137,21.36337,50.598509,16.122899
20833,,3.84,0.464,0.952,17.673807,41.929015,13.014908
20837,Ain,3.53,0.266,1.014,16.488448,39.136798,14.772771
20842,Chamukuy,3.4,0.081,0.179,17.209733,40.871602,12.608233
20977,,4.78,1.603,0.17,15.781048,38.36395,12.047208
21087,,4.91,-1.608,1.32,75.47305,186.515934,-0.154555
21195,,4.49,1.537,0.972,12.46101,31.436528,-19.340438
21220,,4.65,1.22,0.255,17.218125,43.626235,12.430714
21228,,3.3,-0.268,-0.079,10.857822,27.56288,-42.378779
21340,Theemin,3.81,-0.274,0.957,20.338212,52.67393,-33.342657
21349,,4.25,0.849,0.184,16.960482,43.985163,8.448853
21368,Aldebaran,0.87,-0.682,1.538,7.02722,18.287604,5.806661
21391,,3.93,-2.65,-0.21,73.800655,193.060106,-12.107266
21423,,4.25,-2.691,1.171,65.344458,171.773203,161.256794
21536,,4.27,0.906,0.122,16.067112,43.063758,10.198975
21541,Sceptrum,3.86,1.223,1.082,11.405856,30.579706,-8.321655
21591,,4.99,0.724,0.074,24.167507,65.41446,-14.979556
21630,,4.67,1.278,0.147,15.820925,43.043494,13.078825
21710,,4.32,-0.945,1.599,36.197962,100.052855,-38.036843
21717,,4.44,2.917,0.342,5.101798,14.124725,-13.457617
21828,,4.27,-1.164,-0.112,37.416474,106.020957,47.623853
22056,,4.01,-2.011,-0.148,51.015593,151.376745,-9.083835
22396,Tabit,3.19,3.656,0.484,2.413721,7.63677,0.977904
22400,,4.89,-1.052,1.447,36.867,116.768408,93.919491
22456,,4.35,0.161,0.01,20.273136,64.902011,10.64789
22496,,3.68,-3.863,-0.157,94.925539,306.683598,31.506969
22614,,4.71,-1.791,1.773,56.131664,185.136392,49.134544
22626,,4.79,-1.54,1.414,42.857564,141.578185,110.271052
22648,,4.36,0.072,0.257,20.70106,68.667532,-6.846096
22730,,4.26,-15.74,-0.008,11388.133562,38476.633833,91596.173902
22744,,3.71,-4.362,-0.179,116.339905,394.346209,17.52465
22792,,4.64,1.879,0.085,9.83882,33.698243,6.285324
22904,,4.06,0.28,1.158,15.193314,53.311153,13.323302
22961,Hassaleh,2.69,-3.209,1.49,34.378539,121.884168,82.763748
22987,,4.43,-0.855,-0.017,18.219549,64.912267,91.957342
23069,,4.47,-2.841,1.369,76.757549,279.372806,8.669789
23125,,4.93,1.339,0.037,10.806482,39.813476,32.104087
23177,,4.78,0.034,0.267,22.503515,83.880239,-19.3129
23307,,4.91,0.995,-0.047,14.410135,55.150015,-20.805379
23309,,4.8,-1.978,-0.164,56.864041,217.677719,-28.31804
23361,Almaaz,3.03,-6.047,0.537,118.129799,456.518488,452.57303
23398,Saclateni,3.69,-3.22,1.154,45.114162,175.957014,158.327189
23442,,4.62,1,0.155,12.103194,47.740064,19.489629
23467,,4.03,-3.106,0.921,32.233956,127.899195,232.582593
23540,,4.55,0.825,1.177,10.872233,43.938165,-32.265726
23552,,4.65,-0.596,-0.064,25.857529,104.817125,29.745307
23630,,3.19,-0.888,1.46,14.257014,58.775516,-24.89227
23638,,4.71,4.379,0.526,1.474776,6.085643,-9.818715
23712,Haedus,3.18,-1.184,-0.148,12.978524,54.599524,49.18977
23728,,4.98,2.881,0.343,3.765141,15.889624,20.601167
23780,,4.91,3.968,0.657,3.324007,14.241868,4.934537
23820,Cursa,2.78,0.591,0.161,6.156194,26.585876,-2.429001
23917,,4.25,-2.729,-0.187,54.107143,239.830695,-37.859151
23955,,4.81,-1.278,0.313,34.604537,155.127325,44.368602
24187,,4.45,0.191,-0.099,14.372474,68.052698,-14.618273
24249,,3.29,-0.49,-0.11,11.164848,53.596933,-15.911275
24270,,4.36,-2.384,-0.094,44.086239,213.030877,-49.989446
24274,,4.46,-0.693,1.166,21.689404,104.944819,5.355998
24283,,4.82,1.464,0.189,7.409615,35.960293,29.188797
24314,,4.81,-1.079,1.274,11.702924,57.211867,-138.81987
24378,Rigel,0.18,-6.933,-0.03,51.601106,256.709905,-37.740051
24549,Capella,0.08,-0.51,0.795,1.712633,8.954439,9.440007
24599,,4.81,2.254,0.987,4.908599,26.156164,-18.562012
24614,,3.59,-2.312,-0.115,27.668638,147.869248,-18.056628
24667,,4.54,0.277,1.252,10.794657,58.493626,39.178443
24753,,4.69,4.183,0.63,1.713487,9.509166,8.136149
24762,,4.96,0.561,0.937,12.416474,69.140625,28.519208
24785,,4.29,-2.794,-0.235,44.609015,250.278024,-59.518691
24866,,4.7,-0.828,-0.048,20.415286,117.12107,-46.208191
24983,,4.72,-2.553,-0.168,47.31231,280.938174,-1.901776
25079,,4.99,-3.399,-0.096,76.738804,469.043727,29.439495
25184,,4.13,0.713,0.943,7.487188,47.201778,-6.553529
25215,,5,4.21,0.544,2.122676,13.564563,4.298277
25218,,3.35,-4.031,-0.24,46.180743,295.55322,-12.522729
25239,,4.89,-2.625,-0.2,48.76892,314.547885,10.261456
25273,Bellatrix,1.64,-2.804,-0.224,11.658576,76.036136,8.56012
25364,Elnath,1.65,-1.417,-0.13,5.281578,35.6504,19.655456
25409,,4.59,-3.121,-0.199,50.169162,344.287666,18.816533
25475,,4.88,-1.532,-0.14,25.011528,175.931393,71.568309
25542,Nihal,2.81,-0.648,0.807,6.349344,45.531613,-17.425966
25673,,4.71,-1.252,1.592,20.507341,154.378852,-2.969161
25749,,4.2,-0.639,-0.143,11.740832,91.601407,9.621952
25794,,3.86,-0.675,1.13,8.234768,65.213718,-46.834868
25858,,4.62,-5.095,-0.261,106.296082,863.562613,-111.483545
25865,Mintaka,2.25,-4.385,-0.175,25.868117,210.729667,-1.108306
25880,,4.32,-4.38,2.06,62.986531,516.946545,175.200013
25919,,4.71,-15.29,0.281,10046.583496,84028.272688,53275.84395
25920,Arneb,2.58,-6.583,0.211,76.877195,643.047236,-208.208
26004,,3.76,-3.687,0.64,16.370231,141.620663,-273.743541
26111,,4.39,-3.224,-0.157,36.048184,326.789901,54.956117
26134,,4.78,-3.693,-0.248,53.503643,489.42015,-51.764207
26142,Meissa,3.39,-4.246,-0.16,35.907504,329.702779,58.086365
26155,,4.98,-15.02,,10724.717134,98978.942834,-9388.789872
26170,,4.98,-3.399,-0.097,50.584197,469.098632,-44.733371
26172,,4.58,-2.585,-0.183,28.945888,268.481412,-22.857731
26176,Hatysa,2.75,-6.519,-0.21,76.014147,706.411475,-73.54604
26246,Alnilam,1.69,-7.223,-0.184,62.775122,602.66691,-12.712683
26301,,4.09,1.307,0.951,3.576264,35.37109,5.815826
26386,Tianguan,2.97,-2.704,-0.148,12.391949,126.637551,49.207351
26484,,3.77,-3.816,-0.19,30.430713,327.196967,-14.922443
26497,,4.77,1.523,0.139,4.071114,44.062353,-5.600145
26529,,4.5,-3.635,-0.098,38.330467,420.891434,30.453889
26569,Phact,2.65,-1.869,-0.12,5.885917,66.110037,-44.89318
26662,Alnitak,1.74,-5.028,-0.199,18.918488,224.809409,-7.651875
26671,,4.95,-2.25,-0.197,22.99311,274.46745,-5.426942
26711,,4.84,-1.609,-0.125,15.234526,186.249582,55.475059
26820,,4.9,0.129,1.144,6.872956,89.717105,2.316338
