id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,lum,var,var_min,var_max
76235,76470,139063,5794,,39Ups Lib,,15.61707,-28.135079,68.5871,-13.26,-3.48,-25,3.6,-0.581,1.361,-35.331726,-49.089777,-32.34227,0.00000991,0.00002132,0.00001104,4.08853927649493,-0.491049770625765,-0.000000064286294,-0.000000016871516,148.730487004653,,,
76317,76552,139127,5797,,Ome Lup,,15.634232,-42.567348,67.0241,-147.6,56.35,-7,4.34,0.209,1.412,-28.655317,-40.193087,-45.338837,-0.00004318,0.00002205,0.00001833,4.09303243263132,-0.742940374565555,-0.0000007155849925,0.000000273192508,71.8455708792597,,,
76365,76600,139365,5812,,40Tau Lib,,15.64427,-29.777754,112.4859,-22.1,-26.54,3,3.66,-1.595,-0.177,-56.468031,-79.646617,-55.864673,-0.00000721,0.00001066,-0.00001409,4.09566026349155,-0.519719847858563,-0.0000001071438234,-0.00000012866955,378.442584717093,,,
76433,76669,139891,5833,,7Zet1CrB,,15.656299,36.635812,145.1379,-15.29,-6.51,-19,4.64,-1.169,-0.103,-67.060303,-95.220854,86.607536,-0.00000139,0.00001671,-0.00001527,4.0988093763799,0.639415538838013,-0.0000000741280118,-0.00000003156137,255.623042711255,,,
76469,76705,139521,5820,,3Psi1Lup,,15.662772,-34.411926,67.3401,5.65,-13.7,-23,4.66,0.519,0.964,-31.911503,-45.475588,-38.056383,0.00001411,0.00001689,0.0000096,4.10050403867976,-0.600601410170398,0.000000027391973,-0.000000066419474,54.0007759066593,,,
76506,76742,139663,5824,,42    Lib,,15.67136,-23.818078,117.2333,-15.62,-8.18,-22,4.97,-0.375,1.302,-61.407298,-87.928448,-47.34271,0.00000558,0.0000235,0.00000483,4.1027524643809,-0.415703887005391,-0.0000000757278969,-0.000000039657759,123.026877081238,,,
76593,76829,139664,5825,Gl 594,,,15.686505,-44.661205,17.4368,-168.7,-265.69,-5.4,4.64,3.433,0.413,-7.060857,-10.196187,-12.256524,-0.0000005,0.00002433,-0.00001209,4.10671735154406,-0.779485073887836,-0.0000008178806791,-0.000001288101467,3.68807717226154,,,
76616,76852,140159,5842,,21Iot Ser,,15.692516,19.670401,58.2751,-59.86,-43.23,-17,4.51,0.683,0.062,-31.169694,-45.162348,19.615863,-0.00000695,0.0000197,-0.00001735,4.10829106066715,0.343313254131653,-0.0000002902094692,-0.000000209584954,46.4301407281803,,,
76644,76880,139997,5838,,43Kap Lib,,15.699111,-19.678828,94.6074,-33.21,-104.33,-4,4.75,-0.13,1.574,-50.473595,-73.402915,-31.858778,-0.00000124,0.00002508,-0.00004368,4.11001762019205,-0.34346034180348,-0.0000001610066233,-0.000000505806112,98.1747943019984,,,
76709,76945,140008,5839,,4Psi2Lup,,15.711395,-34.710407,111.4827,-23.96,-30.43,4,4.75,-0.486,-0.151,-51.68183,-75.680182,-63.481486,-0.00000731,0.00001226,-0.00001585,4.11323367058812,-0.605810888877018,-0.0000001161613579,-0.000000147528802,136.269919699487,,,
76716,76952,140436,5849,,8Gam CrB,,15.712381,26.295637,44.7828,-112.52,50.7,-11,3.81,0.554,0.02,-22.633064,-33.161033,19.838868,-0.00001174,0.00002613,0.00000488,4.11349179376691,0.45894545075469,-0.0000005455123534,0.000000245800536,52.2877555313441,Gam,3.827,3.797
76819,77055,142105,5903,,16Zet UMi,,15.734299,77.794493,113.1222,20.07,-2.5,-13,4.29,-0.978,0.038,-13.368655,-19.830791,110.565025,0.00000995,-0.00000493,-0.00001328,4.11922978639343,1.35777003994701,0.0000000973021057,-0.000000012120342,214.387766597351,,,
76835,77070,140573,5854,Gl 596.2,24Alp Ser,Unukalhai,15.737798,6.425627,22.6757,134.66,44.14,2.7,2.63,0.852,1.167,-12.5786,-18.695648,2.537718,0.00001105,-0.00001009,0.00000513,4.12014598643839,0.112148346471632,0.0000006528501022,0.000000213996758,39.7374505061463,,,
76997,77233,141003,5867,,28Bet Ser,,15.769793,15.421826,47.5511,68.54,-41.31,-1,3.65,0.264,0.073,-25.268927,-38.245168,12.644945,0.00001233,-0.00001,-0.00000945,4.12852215254885,0.269161632580354,0.0000003322912967,-0.000000200276531,68.2967440807964,,,
